update,Total Number of Messages Count,Total Number of Self IDs sent Count,Total Number of Real Ids sent Count,Total Number of Highest IDs sent Count
9300,3.53019e+06,1562,3.52891e+06,1207
9400,3.57506e+06,1562,3.57378e+06,1207
9500,3.61958e+06,1562,3.6183e+06,1349
9600,3.66523e+06,1633,3.66396e+06,1349
9700,3.71025e+06,1633,3.70897e+06,1491
9800,3.81118e+06,1656,3.80988e+06,1584
9900,3.87122e+06,1656,3.86993e+06,1584
10000,3.92969e+06,1656,3.92839e+06,1656
10100,3.98894e+06,1656,3.98765e+06,1656
10200,4.04856e+06,1728,4.04726e+06,1656
10300,4.10767e+06,1728,4.10638e+06,1656
10400,4.16621e+06,1728,4.16491e+06,1728
10500,4.22532e+06,1728,4.22402e+06,1728
10600,4.28587e+06,1728,4.28458e+06,1872
10700,4.34635e+06,1728,4.34506e+06,1944
10800,4.4051e+06,1728,4.40381e+06,2016
10900,4.46436e+06,1728,4.46306e+06,2016
11000,4.52534e+06,1728,4.52405e+06,2016
11100,4.58568e+06,1800,4.58438e+06,2088
11200,4.64602e+06,1800,4.64472e+06,2088
11300,4.70599e+06,1872,4.7047e+06,2088
11400,4.76618e+06,1944,4.76489e+06,2160
11500,4.82666e+06,1944,4.82537e+06,2160
11600,4.88671e+06,2016,4.88542e+06,2160
11700,4.94784e+06,2016,4.94654e+06,2160
11800,5.00868e+06,2016,5.00738e+06,2160
11900,5.06923e+06,2088,5.06794e+06,2160
12000,5.12978e+06,2088,5.12849e+06,2232
12100,5.19185e+06,2088,5.19055e+06,2304
12200,5.25269e+06,2088,5.25139e+06,2376
12300,5.31598e+06,2088,5.31468e+06,2376
12400,5.3766e+06,2232,5.3753e+06,2448
12500,5.43679e+06,2232,5.4355e+06,2520
12600,5.49756e+06,2304,5.49626e+06,2664
12700,5.55826e+06,2376,5.55696e+06,2664
12800,5.61737e+06,2376,5.61607e+06,2664
12900,5.67749e+06,2376,5.67619e+06,2664
13000,5.73494e+06,2448,5.73365e+06,2664
13100,5.79542e+06,2448,5.79413e+06,2664
13200,5.85605e+06,2448,5.85475e+06,2664
13300,5.91552e+06,2448,5.91422e+06,2736
13400,5.97557e+06,2448,5.97427e+06,2736
13500,6.03907e+06,2592,6.03778e+06,2808
13600,6.09962e+06,2592,6.09833e+06,2952
13700,6.16025e+06,2592,6.15895e+06,3024
13800,6.21994e+06,2592,6.21864e+06,3024
13900,6.28294e+06,2736,6.28164e+06,3024
14000,6.34385e+06,2808,6.34255e+06,3024
14100,6.40541e+06,2808,6.40411e+06,3024
14200,6.46733e+06,2808,6.46603e+06,3024
14300,6.52738e+06,2880,6.52608e+06,3024
14400,6.58836e+06,2880,6.58706e+06,3096
14500,6.65035e+06,2880,6.64906e+06,3168
14600,6.71213e+06,2880,6.71083e+06,3168
14700,6.77203e+06,3024,6.77074e+06,3168
14800,6.83381e+06,3096,6.83251e+06,3168
14900,6.89587e+06,3240,6.89458e+06,3168
15000,6.95851e+06,3240,6.95722e+06,3168
15100,7.02288e+06,3312,7.02158e+06,3168
15200,7.08854e+06,3312,7.08725e+06,3240
15300,7.15277e+06,3384,7.15147e+06,3240
15400,7.2149e+06,3384,7.21361e+06,3240
15500,7.2787e+06,3384,7.2774e+06,3240
15600,7.34314e+06,3384,7.34184e+06,3240
15700,7.4039e+06,3384,7.40261e+06,3312
15800,7.46813e+06,3384,7.46683e+06,3456
15900,7.53379e+06,3456,7.5325e+06,3456
16000,7.5983e+06,3456,7.59701e+06,3456
16100,7.6626e+06,3528,7.6613e+06,3456
16200,7.72891e+06,3600,7.72762e+06,3456
16300,7.79746e+06,3672,7.79616e+06,3528
16400,7.8629e+06,3744,7.86161e+06,3528
16500,7.93145e+06,3816,7.93015e+06,3528
16600,7.99754e+06,3816,7.99625e+06,3672
16700,8.06371e+06,3816,8.06242e+06,3672
16800,8.1311e+06,3888,8.12981e+06,3744
16900,8.19857e+06,3960,8.19727e+06,3816
17000,8.26582e+06,4032,8.26452e+06,3816
17100,8.33026e+06,4104,8.32896e+06,3816
17200,8.39822e+06,4104,8.39693e+06,3816
17300,8.46677e+06,4176,8.46547e+06,3816
17400,8.53301e+06,4176,8.53171e+06,3816
17500,8.59896e+06,4176,8.59766e+06,3888
17600,8.66498e+06,4176,8.66369e+06,3888
17700,8.73122e+06,4176,8.72993e+06,3888
17800,8.79869e+06,4320,8.79739e+06,3888
17900,8.86759e+06,4320,8.8663e+06,4032
18000,8.93599e+06,4320,8.9347e+06,4104
18100,9.0067e+06,4320,9.0054e+06,4104
18200,9.0756e+06,4464,9.0743e+06,4176
18300,9.14616e+06,4608,9.14486e+06,4248
18400,9.2142e+06,4680,9.2129e+06,4248
18500,9.2826e+06,4680,9.2813e+06,4248
18600,9.35431e+06,4680,9.35302e+06,4392
18700,9.4235e+06,4752,9.42221e+06,4392
18800,9.49428e+06,4752,9.49298e+06,4392
18900,9.56678e+06,4896,9.56549e+06,4392
19000,9.6395e+06,5040,9.63821e+06,4392
19100,9.7128e+06,5112,9.7115e+06,4392
19200,9.78646e+06,5328,9.78516e+06,4392
